brand,model,ev_description
Fiat,600e,"The Fiat 600e is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 360.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Fiat,Grande Panda,"The Fiat Grande Panda is an electric vehicle in the B - Compact segment. It has a 43.8 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.0 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 361.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Ford,Capri Extended Range AWD,"The Ford Capri Extended Range AWD is an electric vehicle in the D - Large segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.3 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 572.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Ford,Capri Extended Range RWD,"The Ford Capri Extended Range RWD is an electric vehicle in the D - Large segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.4 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 572.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Ford,Capri Standard Range RWD,"The Ford Capri Standard Range RWD is an electric vehicle in the D - Large segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 572.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Ford,Explorer Extended Range AWD,"The Ford Explorer Extended Range AWD is an electric vehicle in the JC - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 440.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.3 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 536.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Explorer Extended Range RWD,"The Ford Explorer Extended Range RWD is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.4 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 536.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Explorer Standard Range RWD,"The Ford Explorer Standard Range RWD is an electric vehicle in the JC - Medium segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 305.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.7 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 536.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E ER AWD (MY25),"The Ford Mustang Mach-E ER AWD (MY25) is an electric vehicle in the JD - Large segment. It has a 88.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 4.8 seconds. It supports DC fast charging at up to 105.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E ER AWD (MY24),"The Ford Mustang Mach-E ER AWD (MY24) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 4.6 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E ER RWD (MY25),"The Ford Mustang Mach-E ER RWD (MY25) is an electric vehicle in the JD - Large segment. It has a 88.0 kWh Lithium-ion battery that provides a range of approximately 475.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.1 seconds. It supports DC fast charging at up to 105.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E ER RWD (MY24),"The Ford Mustang Mach-E ER RWD (MY24) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 480.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E GT (MY24),"The Ford Mustang Mach-E GT (MY24) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 425.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E GT (MY25),"The Ford Mustang Mach-E GT (MY25) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E Rally (MY25),"The Ford Mustang Mach-E Rally (MY25) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 415.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E Rally (MY24),"The Ford Mustang Mach-E Rally (MY24) is an electric vehicle in the JD - Large segment. It has a 91.0 kWh Lithium-ion battery that provides a range of approximately 410.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E SR RWD (MY24),"The Ford Mustang Mach-E SR RWD (MY24) is an electric vehicle in the JD - Large segment. It has a 72.6 kWh Lithium-ion battery that provides a range of approximately 385.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.2 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Mustang Mach-E SR RWD (MY25),"The Ford Mustang Mach-E SR RWD (MY25) is an electric vehicle in the JD - Large segment. It has a 72.6 kWh Lithium-ion battery that provides a range of approximately 380.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.2 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 519.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Ford,Puma Gen-E,"The Ford Puma Gen-E is an electric vehicle in the JB - Compact segment. It has a 43.6 kWh Lithium-ion battery that provides a range of approximately 275.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 523.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Ford,e-Tourneo Courier,"The Ford e-Tourneo Courier is an electric vehicle in the N - Passenger Van segment. It has a 43.6 kWh Lithium-ion battery that provides a range of approximately 200.0 km. The top speed is 145.0 km/h with 0-100 acceleration in 11.0 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers nan liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Ford,e-Tourneo Custom L1 160 kW,"The Ford e-Tourneo Custom L1 160 kW is an electric vehicle in the N - Passenger Van segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 672.0 liters of cargo space, seats 8 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Ford,e-Tourneo Custom L1 210 kW,"The Ford e-Tourneo Custom L1 210 kW is an electric vehicle in the N - Passenger Van segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 8.0 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 672.0 liters of cargo space, seats 8 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Ford,e-Tourneo Custom L2 160 kW,"The Ford e-Tourneo Custom L2 160 kW is an electric vehicle in the N - Passenger Van segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 672.0 liters of cargo space, seats 8 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Ford,e-Tourneo Custom L2 210 kW,"The Ford e-Tourneo Custom L2 210 kW is an electric vehicle in the N - Passenger Van segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 8.0 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 672.0 liters of cargo space, seats 8 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
GWM,ORA 03 48 kWh,"The GWM ORA 03 48 kWh is an electric vehicle in the C - Medium segment. It has a 45.4 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.3 seconds. It supports DC fast charging at up to 45.0 kW via CCS port. It offers 228.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
GWM,ORA 03 63 kWh,"The GWM ORA 03 63 kWh is an electric vehicle in the C - Medium segment. It has a 59.3 kWh Lithium-ion battery that provides a range of approximately 340.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 56.0 kW via CCS port. It offers 228.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
GWM,ORA 03 GT,"The GWM ORA 03 GT is an electric vehicle in the C - Medium segment. It has a 59.3 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 56.0 kW via CCS port. It offers 228.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
GWM,ORA 07 GT,"The GWM ORA 07 GT is an electric vehicle in the D - Large segment. It has a 83.5 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 333.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
GWM,ORA 07 Pro,"The GWM ORA 07 Pro is an electric vehicle in the D - Large segment. It has a 64.3 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 333.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
GWM,ORA 07 Pure,"The GWM ORA 07 Pure is an electric vehicle in the D - Large segment. It has a 64.3 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 333.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
Genesis,G80 Electrified Luxury,"The Genesis G80 Electrified Luxury is an electric vehicle in the F - Luxury segment. It has a 82.5 kWh Lithium-ion battery that provides a range of approximately 440.0 km. The top speed is 225.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 160.0 kW via CCS port. It offers 354.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Genesis,GV60 Premium,"The Genesis GV60 Premium is an electric vehicle in the JC - Medium segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 390.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 7.8 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 432.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Genesis,GV60 Sport,"The Genesis GV60 Sport is an electric vehicle in the JC - Medium segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 375.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 432.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Genesis,GV60 Sport Plus,"The Genesis GV60 Sport Plus is an electric vehicle in the JC - Medium segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 235.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 432.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Genesis,GV70 Electrified Sport,"The Genesis GV70 Electrified Sport is an electric vehicle in the JD - Large segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 235.0 km/h with 0-100 acceleration in 4.2 seconds. It supports DC fast charging at up to 190.0 kW via CCS port. It offers 503.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Honda,e:Ny1,"The Honda e:Ny1 is an electric vehicle in the JB - Compact segment. It has a 61.9 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.6 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 361.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Hongqi,E-HS9 120 kWh,"The Hongqi E-HS9 120 kWh is an electric vehicle in the JF - Luxury segment. It has a 112.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 438.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hongqi,E-HS9 84 kWh,"The Hongqi E-HS9 84 kWh is an electric vehicle in the JF - Luxury segment. It has a 76.5 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 112.0 kW via CCS port. It offers 438.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hongqi,E-HS9 99 kWh,"The Hongqi E-HS9 99 kWh is an electric vehicle in the JF - Luxury segment. It has a 90.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 112.0 kW via CCS port. It offers 438.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,INSTER Long Range,"The Hyundai INSTER Long Range is an electric vehicle in the JA - Mini segment. It has a 46.0 kWh Lithium-ion battery that provides a range of approximately 300.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 10.6 seconds. It supports DC fast charging at up to 70.0 kW via CCS port. It offers 280.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,INSTER Standard Range,"The Hyundai INSTER Standard Range is an electric vehicle in the JA - Mini segment. It has a 39.0 kWh Lithium-ion battery that provides a range of approximately 255.0 km. The top speed is 140.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 280.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 5 63 kWh RWD (MY24),"The Hyundai IONIQ 5 63 kWh RWD (MY24) is an electric vehicle in the JC - Medium segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 345.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 8.5 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 5 84 kWh AWD (MY24),"The Hyundai IONIQ 5 84 kWh AWD (MY24) is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 5.3 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 5 84 kWh RWD (MY24),"The Hyundai IONIQ 5 84 kWh RWD (MY24) is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 5 N (MY24),"The Hyundai IONIQ 5 N (MY24) is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 390.0 km. The top speed is 260.0 km/h with 0-100 acceleration in 3.4 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 480.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 6 Long Range 2WD,"The Hyundai IONIQ 6 Long Range 2WD is an electric vehicle in the D - Large segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 495.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 7.4 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 401.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
Hyundai,IONIQ 6 Long Range AWD,"The Hyundai IONIQ 6 Long Range AWD is an electric vehicle in the D - Large segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 440.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 5.1 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 401.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Hyundai,IONIQ 6 Standard Range 2WD,"The Hyundai IONIQ 6 Standard Range 2WD is an electric vehicle in the D - Large segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 8.8 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 401.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
Hyundai,IONIQ 9 Long Range AWD,"The Hyundai IONIQ 9 Long Range AWD is an electric vehicle in the JF - Luxury segment. It has a 106.0 kWh Lithium-ion battery that provides a range of approximately 490.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 195.0 kW via CCS port. It offers 338.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 9 Long Range RWD,"The Hyundai IONIQ 9 Long Range RWD is an electric vehicle in the JF - Luxury segment. It has a 106.0 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 9.4 seconds. It supports DC fast charging at up to 195.0 kW via CCS port. It offers 338.0 liters of cargo space, seats 7 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,IONIQ 9 Performance AWD,"The Hyundai IONIQ 9 Performance AWD is an electric vehicle in the JF - Luxury segment. It has a 106.0 kWh Lithium-ion battery that provides a range of approximately 480.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.2 seconds. It supports DC fast charging at up to 195.0 kW via CCS port. It offers 338.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,Kona Electric 48 kWh,"The Hyundai Kona Electric 48 kWh is an electric vehicle in the JB - Compact segment. It has a 48.4 kWh Lithium-ion battery that provides a range of approximately 295.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.8 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 466.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Hyundai,Kona Electric 65 kWh,"The Hyundai Kona Electric 65 kWh is an electric vehicle in the JB - Compact segment. It has a 65.4 kWh Lithium-ion battery that provides a range of approximately 390.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.8 seconds. It supports DC fast charging at up to 86.0 kW via CCS port. It offers 466.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Jaguar,I-Pace EV400,"The Jaguar I-Pace EV400 is an electric vehicle in the JD - Large segment. It has a 84.7 kWh Lithium-ion battery that provides a range of approximately 380.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.8 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 505.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Jeep,Avenger Electric,"The Jeep Avenger Electric is an electric vehicle in the JB - Compact segment. It has a 50.8 kWh Lithium-ion battery that provides a range of approximately 310.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 355.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Jeep,Compass Electric 74 kWh,"The Jeep Compass Electric 74 kWh is an electric vehicle in the JC - Medium segment. It has a 74.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 8.5 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 550.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
KGM,Torres EVX,"The KGM Torres EVX is an electric vehicle in the JC - Medium segment. It has a 72.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 175.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 85.0 kW via CCS port. It offers 839.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV3 Long Range,"The Kia EV3 Long Range is an electric vehicle in the JB - Compact segment. It has a 78.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.7 seconds. It supports DC fast charging at up to 105.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV3 Standard Range,"The Kia EV3 Standard Range is an electric vehicle in the JB - Compact segment. It has a 55.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 460.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV4 Hatchback Long Range,"The Kia EV4 Hatchback Long Range is an electric vehicle in the C - Medium segment. It has a 78.0 kWh Lithium-ion battery that provides a range of approximately 475.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.7 seconds. It supports DC fast charging at up to 105.0 kW via CCS port. It offers 435.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Kia,EV4 Hatchback Standard Range,"The Kia EV4 Hatchback Standard Range is an electric vehicle in the C - Medium segment. It has a 55.0 kWh Lithium-ion battery that provides a range of approximately 340.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.4 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 435.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
Kia,EV4 Sedan Long Range,"The Kia EV4 Sedan Long Range is an electric vehicle in the C - Medium segment. It has a 78.0 kWh Lithium-ion battery that provides a range of approximately 495.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.7 seconds. It supports DC fast charging at up to 105.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
Kia,EV4 Sedan Standard Range,"The Kia EV4 Sedan Standard Range is an electric vehicle in the C - Medium segment. It has a 55.0 kWh Lithium-ion battery that provides a range of approximately 355.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 7.4 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Sedan category."
Kia,EV6 GT,"The Kia EV6 GT is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 385.0 km. The top speed is 260.0 km/h with 0-100 acceleration in 3.5 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 480.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV6 Long Range 2WD,"The Kia EV6 Long Range 2WD is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 7.3 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV6 Long Range AWD,"The Kia EV6 Long Range AWD is an electric vehicle in the JC - Medium segment. It has a 80.0 kWh Lithium-ion battery that provides a range of approximately 440.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 5.2 seconds. It supports DC fast charging at up to 205.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV6 Standard Range 2WD,"The Kia EV6 Standard Range 2WD is an electric vehicle in the JC - Medium segment. It has a 60.0 kWh Lithium-ion battery that provides a range of approximately 345.0 km. The top speed is 185.0 km/h with 0-100 acceleration in 8.7 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Kia,EV9 76.1 kWh RWD,"The Kia EV9 76.1 kWh RWD is an electric vehicle in the JF - Luxury segment. It has a 73.0 kWh Lithium-ion battery that provides a range of approximately 355.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 8.5 seconds. It supports DC fast charging at up to 160.0 kW via CCS port. It offers 333.0 liters of cargo space, seats 7 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
